qasm_file,backend,optimization_level,circuit_depth,gate_counts,fidelities_with_not_compiled_circuit
QASM file: adder_medium.qasm,,,,,
adder_medium.qasm,original,original,23,"{""cx"": 17, ""ccx"": 8, ""x"": 5}",1.0
adder_medium.qasm,TranspilerRyRxRzCX,0,111,"{""cx"": 65, ""rz"": 56, ""rx"": 21, ""ry"": 16}",0.9999999999999988
adder_medium.qasm,TranspilerRyRxRzCX,1,107,"{""cx"": 65, ""rz"": 56, ""ry"": 16, ""rx"": 13}",0.9999999999999996
adder_medium.qasm,TranspilerRyRxRzCX,2,107,"{""cx"": 65, ""rz"": 52, ""ry"": 16, ""rx"": 13}",0.9999999999999993
adder_medium.qasm,TranspilerRyRxRzCX,3,107,"{""cx"": 65, ""rz"": 52, ""ry"": 16, ""rx"": 13}",0.9999999999999993
adder_medium.qasm,fake_guadalupe,0,219,"{""cx"": 179, ""rz"": 88, ""sx"": 16, ""x"": 5}",0.999999999999999
adder_medium.qasm,fake_guadalupe,1,175,"{""cx"": 119, ""rz"": 80, ""sx"": 16, ""x"": 5}",0.9999999999999991
adder_medium.qasm,fake_guadalupe,2,176,"{""cx"": 98, ""rz"": 93, ""sx"": 36, ""x"": 7}",0.9999999999999994
adder_medium.qasm,fake_guadalupe,3,182,"{""cx"": 104, ""rz"": 86, ""sx"": 28, ""x"": 5}",0.9999999999999993
,,,,,
QASM file: adder_small.qasm,,,,,
adder_small.qasm,original,original,11,"{""cx"": 10, ""t"": 4, ""tdg"": 4, ""x"": 2, ""h"": 2, ""s"": 1}",1.0
adder_small.qasm,TranspilerRyRxRzCX,0,13,"{""cx"": 10, ""rz"": 9, ""rx"": 4, ""ry"": 2}",0.9999999999999993
adder_small.qasm,TranspilerRyRxRzCX,1,13,"{""cx"": 10, ""rz"": 9, ""rx"": 4, ""ry"": 2}",0.9999999999999993
adder_small.qasm,TranspilerRyRxRzCX,2,13,"{""cx"": 10, ""rz"": 9, ""rx"": 4, ""ry"": 2}",0.9999999999999993
adder_small.qasm,TranspilerRyRxRzCX,3,13,"{""cx"": 10, ""rz"": 9, ""rx"": 4, ""ry"": 2}",0.9999999999999993
adder_small.qasm,fake_guadalupe,0,19,"{""cx"": 16, ""rz"": 13, ""x"": 2, ""sx"": 2}",0.9999999999999993
adder_small.qasm,fake_guadalupe,1,19,"{""cx"": 16, ""rz"": 13, ""sx"": 2, ""x"": 2}",0.9999999999999992
adder_small.qasm,fake_guadalupe,2,18,"{""cx"": 16, ""rz"": 12, ""sx"": 2, ""x"": 2}",0.9999999999999993
adder_small.qasm,fake_guadalupe,3,18,"{""cx"": 16, ""rz"": 12, ""x"": 2, ""sx"": 2}",0.9999999999999993
,,,,,
QASM file: alu-bdd_288.qasm,,,,,
alu-bdd_288.qasm,original,original,48,"{""cx"": 38, ""t"": 20, ""tdg"": 15, ""h"": 10, ""x"": 1}",1.0
alu-bdd_288.qasm,TranspilerRyRxRzCX,0,56,"{""cx"": 38, ""rz"": 35, ""rx"": 11, ""ry"": 10}",0.9999999999999979
alu-bdd_288.qasm,TranspilerRyRxRzCX,1,48,"{""cx"": 38, ""rz"": 35, ""ry"": 6, ""rx"": 2}",0.999999999999998
alu-bdd_288.qasm,TranspilerRyRxRzCX,2,48,"{""cx"": 38, ""rz"": 35, ""ry"": 6, ""rx"": 2}",0.999999999999998
alu-bdd_288.qasm,TranspilerRyRxRzCX,3,48,"{""cx"": 38, ""rz"": 35, ""ry"": 6, ""rx"": 2}",0.999999999999998
alu-bdd_288.qasm,fake_guadalupe,0,158,"{""cx"": 131, ""rz"": 55, ""sx"": 10, ""x"": 1}",0.9999999999999978
alu-bdd_288.qasm,fake_guadalupe,1,124,"{""cx"": 101, ""rz"": 44, ""sx"": 6}",0.9999999999999973
alu-bdd_288.qasm,fake_guadalupe,2,149,"{""rz"": 85, ""cx"": 83, ""sx"": 40, ""x"": 7}",0.9999999999999979
alu-bdd_288.qasm,fake_guadalupe,3,132,"{""rz"": 80, ""cx"": 79, ""sx"": 39, ""x"": 3}",0.9999999999999978
,,,,,
QASM file: linearsolver.qasm,,,,,
linearsolver.qasm,original,original,11,"{""h"": 12, ""cx"": 4, ""u3"": 2, ""x"": 1}",1.0
linearsolver.qasm,TranspilerRyRxRzCX,0,23,"{""rx"": 17, ""ry"": 12, ""rz"": 6, ""cx"": 4}",0.999999999999999
linearsolver.qasm,TranspilerRyRxRzCX,1,13,"{""ry"": 7, ""rx"": 4, ""cx"": 4, ""rz"": 1}",0.9999999999999991
linearsolver.qasm,TranspilerRyRxRzCX,2,14,"{""ry"": 7, ""rz"": 5, ""cx"": 4, ""rx"": 3}",0.9999999999999992
linearsolver.qasm,TranspilerRyRxRzCX,3,14,"{""ry"": 7, ""rz"": 5, ""cx"": 4, ""rx"": 3}",0.9999999999999992
linearsolver.qasm,fake_guadalupe,0,28,"{""rz"": 30, ""sx"": 16, ""cx"": 4, ""x"": 1}",0.9999999999999991
linearsolver.qasm,fake_guadalupe,1,20,"{""rz"": 13, ""sx"": 9, ""cx"": 4}",0.9999999999999992
linearsolver.qasm,fake_guadalupe,2,13,"{""rz"": 9, ""sx"": 4, ""cx"": 4, ""x"": 2}",0.9999999999999987
linearsolver.qasm,fake_guadalupe,3,13,"{""rz"": 9, ""sx"": 4, ""cx"": 4, ""x"": 2}",0.9999999999999987
,,,,,
QASM file: phaseest.qasm,,,,,
phaseest.qasm,original,original,79,"{""rz"": 42, ""cx"": 42, ""h"": 8}",1.0
phaseest.qasm,TranspilerRyRxRzCX,0,82,"{""rz"": 42, ""cx"": 42, ""ry"": 8, ""rx"": 8}",0.9999999999999977
phaseest.qasm,TranspilerRyRxRzCX,1,82,"{""rz"": 42, ""cx"": 42, ""ry"": 8, ""rx"": 8}",0.9999999999999977
phaseest.qasm,TranspilerRyRxRzCX,2,34,"{""rz"": 21, ""cx"": 14, ""ry"": 10, ""rx"": 6}",0.9999999999999982
phaseest.qasm,TranspilerRyRxRzCX,3,34,"{""rz"": 21, ""cx"": 14, ""ry"": 10, ""rx"": 6}",0.9999999999999982
phaseest.qasm,fake_guadalupe,0,107,"{""cx"": 66, ""rz"": 58, ""sx"": 8}",0.9999999999999978
phaseest.qasm,fake_guadalupe,1,95,"{""rz"": 58, ""cx"": 54, ""sx"": 8}",0.999999999999998
phaseest.qasm,fake_guadalupe,2,51,"{""rz"": 36, ""cx"": 26, ""sx"": 14, ""x"": 5}",0.9999999999999983
phaseest.qasm,fake_guadalupe,3,51,"{""rz"": 36, ""cx"": 26, ""sx"": 14, ""x"": 5}",0.9999999999999983
